δικαστικος
δικαστικου
προεδρος
προεδρου
αντιπροεδρος
αντιπροεδρου
επικρατεια
επικρατειας
επιμελητης
επιμελητη
βουλη
βουλης
συμβουλος
συμβουλου
συμβουλιο
συμβουλιουο
η
νομικος
νομικου
δικαιου
δικαιο
κρατος
κρατουςπρωτοβαθμια
πρωτοβαθμιας
δευτεροβαθμια
δευτεροβαθμιας
τριτοβαθμια
τριτοβαθμιας
το
αφμ
αμκα
ιστοσελιδα
δημοσιευση
δημοσιευσης
δημοσιευσεων
