1 ΙΟΥΛΙΟΥ
1 ΜΑΙΟΥ 1866
1 ΜΑΙΟΥ
1 ΣΕΠΤΕΜΒΡΙΟΥ
10 ΑΠΡΙΛΙΟΥ 1821
10 ΙΟΥΝΙΟΥ
10 ΣΕΠΤΕΜΒΡΙΟΥ
10Η ΠΑΡ. ΑΘΗΝΩΝ
10Η ΠΑΡ. ΑΤΤΑΛΕΙΑΣ
10Η ΠΑΡ. ΒΙΘΥΝΙΑΣ
10Η ΠΑΡ. ΒΟΣΠΟΡΟΥ
10Η ΠΑΡ. ΓΕΜΕΛΟΥ Κ.
10Η ΠΑΡ. ΓΕΡΒΑΣΙΟΥ ΓΡΕΒΕΝΩΝ
10Η ΠΑΡ. ΚΑΡΑΟΛΗ-ΔΗΜΗΤΡΙΟΥ
10Η ΠΑΡ. ΟΘΩΝΟΣ
10Η ΠΑΡ. ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞ.
10Η ΠΑΡ. ΣΕΛΙΝΟΥ
10Η ΠΑΡ. ΤΣΑΛΔΑΡΗ ΠΑΝ.
10ΗΣ ΜΕΡΑΡΧΙΑΣ
11 ΙΟΥΝΙΟΥ 1821
11 ΝΟΕΜΒΡΙΟΥ
11 ΟΚΤΩΒΡΙΟΥ
110 ΜΑΡΤΥΡΩΝ
110 Π.Μ.
111 Π.Μ.
112 Π.Μ.
113 Π.Μ.
114 Π.Μ.
115 Π.Μ.
116 Π.Μ.
116
117 ΕΘΝΟΜΑΡΤΥΡΩΝ
117 Π.Μ.
11Η ΠΑΡ. ΑΘΗΝΩΝ
11Η ΠΑΡ. ΑΤΤΑΛΕΙΑΣ
11Η ΠΑΡ. ΒΙΘΥΝΙΑΣ
11Η ΠΑΡ. ΒΟΣΠΟΡΟΥ
11Η ΠΑΡ. ΓΕΜΕΛΟΥ Κ.
11Η ΠΑΡ. ΓΕΡΒΑΣΙΟΥ ΓΡΕΒΕΝΩΝ
11Η ΠΑΡ. ΚΑΡΑΟΛΗ-ΔΗΜΗΤΡΙΟΥ
11Η ΠΑΡ. ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞ.
11Η ΠΑΡ. ΤΣΑΛΔΑΡΗ ΠΑΝ.
11ΗΣ ΔΙΛΟΧΙΑΣ ΜΗΧΑΝΙΚΟΥ
11ΗΣ ΜΕΡΑΡΧΙΑΣ
11ΟΥ ΣΥΝΤΑΓΜΑΤΟΣ
12 ΟΚΤΩΒΡΙΟΥ
12 ΦΕΒΡΟΥΑΡΙΟΥ
120 ΠΕΑ
123 Π.Μ.
126 Σ.Μ.
12Η ΠΑΡ. ΑΤΤΑΛΕΙΑΣ
12Η ΠΑΡ. ΒΙΘΥΝΙΑΣ
12Η ΠΑΡ. ΒΟΣΠΟΡΟΥ
12Η ΠΑΡ. ΓΕΜΕΛΟΥ Κ.
12Η ΠΑΡ. ΓΕΡΒΑΣΙΟΥ ΓΡΕΒΕΝΩΝ
12Η ΠΑΡ. ΚΑΡΑΟΛΗ-ΔΗΜΗΤΡΙΟΥ
12Η ΠΑΡ. ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞ.
12Η ΠΑΡ. ΤΣΑΛΔΑΡΗ ΠΑΝ.
12ΟΥ ΣΥΝΤΑΓΜΑΤΟΣ
13 ΟΚΤΩΒΡΙΟΥ
13 ΣΕΠΤΕΜΒΡΙΟΥ
130 Σ.Μ.
131 Σ.Μ.
132 Σ.Μ.
133 Σ.Μ.
134 Σ.Μ.
135 Σ.Μ.
138 Σ.Μ.
13Η ΠΑΡ. ΑΛΚΙΝΟΟΥ
13Η ΠΑΡ. ΑΤΤΑΛΕΙΑΣ
13Η ΠΑΡ. ΒΙΘΥΝΙΑΣ
13Η ΠΑΡ. ΒΟΣΠΟΡΟΥ
13Η ΠΑΡ. ΓΕΡΒΑΣΙΟΥ ΓΡΕΒΕΝΩΝ
13Η ΠΑΡ. ΚΑΡΑΟΛΗ-ΔΗΜΗΤΡΙΟΥ
13Η ΠΑΡ. ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞ.
13Η ΠΑΡ. ΤΣΑΛΔΑΡΗ ΠΑΝ.
14 ΜΑΙΟΥ
14 ΣΕΠΤΕΜΒΡΙΟΥ 1944
14 ΣΕΠΤΕΜΒΡΙΟΥ
14Η ΠΑΡ. ΑΘΗΝΩΝ
14Η ΠΑΡ. ΑΤΤΑΛΕΙΑΣ
14Η ΠΑΡ. ΒΙΘΥΝΙΑΣ
14Η ΠΑΡ. ΓΕΡΒΑΣΙΟΥ ΓΡΕΒΕΝΩΝ
14Η ΠΑΡ. ΙΩΑΝΝΙΝΩΝ
14Η ΠΑΡ. ΚΑΡΑΟΛΗ-ΔΗΜΗΤΡΙΟΥ
14Η ΠΑΡ. ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛΕΞ.
14Η ΠΑΡ. ΤΣΑΛΔΑΡΗ ΠΑΝ.
15 ΜΑΡΤΥΡΩΝ
15 ΟΚΤΩΒΡΙΟΥ
